HDIrank,Country,HDI,Emission,GDP,Health,Homicide,Water,Internet,CPI
85,China,0.75,6.68,8.55,5.15,0.56,92,54.3,103.61
87,Azerbaijan,0.75,3.12,4.15,6.65,2.04,73.56,79,149.47
88,Ukraine,0.75,3.82,2.52,7,6.18,92.01,58.89,235.3
89,Dominican Republic,0.74,1.99,7.23,6.14,11.57,81,67.57,128.51
89,Saint Lucia,0.74,2.31,10.04,4.55,29.29,94,50.82,108.04
91,Tunisia,0.74,2.27,3.48,7.23,3,92.66,64.19,138.44
92,Mongolia,0.73,6.27,3.67,4,6.13,23.72,23.71,171.97
93,Lebanon,0.73,4.43,7.83,8.2,3.61,47.7,78.18,119
94,Botswana,0.72,3.37,7.89,6.13,15,97,47,141.1
94,Saint Vincent & Grenadines,0.73,2.02,7.21,4.49,36.5,95.1,22,107.17
96,Jamaica,0.72,2.41,5.07,5.99,56.39,93,55.07,150.76
96,Venezuela (Boliv. Rep. of),0.73,3.56,8.44,1.18,49.88,93,72,14.75
98,Paraguay,0.72,1.12,5.68,6.65,7.88,63.89,61.08,134.61
98,Suriname,0.72,3.43,5.63,6.23,5.43,95,48.95,264.07
98,Dominican Republic,0.72,1.99,7.23,6.14,11.57,81,67.57,128.51
98,Fiji,0.72,2.36,6.10,3.5,2.3,96,49.97,124.9
102,Jordan,0.72,2.63,4.16,8.12,1.36,93.82,66.79,119.33
103,Belize,0.72,1.51,4.89,5.64,37.79,99,47.08,105.68
105,Tonga,0.72,1.29,4.83,5.27,1,99,41.25,121.1
106,Philippines,0.71,1.21,2.98,4.45,8.39,46.65,60.05,111.5
107,Republic of Moldova,0.71,2.12,2.38,7.01,3.47,72.88,76.12,153.93
108,Uzbekistan,0.71,2.51,1.85,6.41,1.14,58.9,52.31,113.76
111,Samoa,0.71,1.29,4.22,5.48,3.1,58.82,33.61,111.72
111,Indonesia,0.7,1.88,3.84,2.99,0.43,85,32.29,142.18
113,South Africa,0.7,7.44,6.12,8.11,35.7,95,56.17,145.7
114,Bolivia (Plurin. State of),0.7,1.98,3.35,6.44,6.3,88,43.83,142.4
116,Egypt,0.7,2.15,2.02,5.29,2.5,99,44.95,231.09
118,Viet Nam,0.69,2,2.37,5.53,1.5,95,58.14,153.63
120,Iraq,0.68,3.66,5.08,4.17,9.9,58.83,49.36,119.42
121,Morocco,0.67,1.63,3.08,5.25,2.14,70.27,61.76,108.77
122,Kyrgyzstan,0.67,1.44,1.24,6.19,4.14,68.22,38,151.59
123,Guyana,0.67,3.03,4.59,4.95,14.83,98,37.33,112.37
124,El Salvador,0.66,0.9,3.90,7.23,61.71,90,33.82,109.95
125,Tajikistan,0.65,0.66,0.81,7.23,1.6,47.87,21.96,159.54
126,Nicaragua,0.65,0.82,2.17,8.65,7.4,51.6,27.86,147.15
126,Guatemala,0.65,0.93,4.47,5.81,26.07,55.99,65,132.84
126,Cabo Verde,0.65,1.02,3.29,5.17,7.07,89,57.16,107.93
129,India,0.64,1.61,1.96,3.54,3.12,93,34.45,159.83
130,Namibia,0.64,1.59,5.65,8.55,17.1,92,51,145.91
131,Timor-Leste,0.62,0.41,2.00,3.88,3.9,70,27.49,141.64
132,Kiribati,0.62,0.59,1.63,10.76,7.5,67,14.58,99.5
132,Honduras,0.62,1.02,2.45,7.86,40.98,90,31.7,138.05
134,Bhutan,0.62,1.58,3.39,3.19,1.74,36.16,48.11,158.43
135,Bangladesh,0.61,0.48,1.54,2.27,2.22,55.44,15,161.23
142,Ghana,0.59,0.48,2.03,3.26,2.09,36.41,39,232.26
143,Zambia,0.59,0.35,1.53,4.47,5.3,63,27.85,180.95
145,Myanmar,0.58,0.57,1.25,4.66,2.3,86,30.68,144.61
146,Cambodia,0.58,0.67,1.39,5.92,1.8,25.85,32.45,124.57
147,Nepal,0.57,0.35,0.93,5.55,2.2,27.24,34,116.9
147,Kenya,0.57,0.33,1.57,4.8,4.91,62,17.83,172.43
149,Angola,0.58,0.61,4.10,2.79,4.8,54,14.34,280.76
150,Zimbabwe,0.55,0.59,1.55,6.64,6.7,80,27.06,105.51
150,Cameroon,0.56,0.26,1.43,4.67,1.39,74,23.2,114.58
152,Pakistan,0.56,0.93,1.46,2.9,3.96,35.31,15.51,156.91
153,Solomon Islands,0.55,0.27,1.89,4.68,3.8,81,11.92,126.54
154,Syrian Arab Republic,0.54,1.26,0.77,3.56,2.2,90,34.25,175.2
155,Papua New Guinea,0.54,0.9,2.61,2.47,10,40,11.21,143.73
157,Rwanda,0.53,0.09,0.76,6.57,2.5,71,21.77,135.36
158,Nigeria,0.53,0.45,1.97,3.76,34.5,20.13,42,214.23
159,Uganda,0.52,0.14,0.66,6.27,11.5,7.07,23.71,167.91
159,United Rep. of Tanzania,0.52,0.18,1.00,3.65,6.2,53,25,175.04
163,Benin,0.51,0.61,0.83,3.72,1.13,76,20,108.97
164,Lesotho,0.51,1.33,1.23,8.76,41.2,81,29,141.45
165,Côte d’Ivoire,0.51,0.42,1.56,4.45,11.8,36.55,43.84,112.45
168,Sudan,0.51,0.46,3.04,6.34,5.2,55,30.87,155.96
169,Haiti,0.5,0.3,0.78,8.04,9.5,62,12.33,181.49
170,Afghanistan,0.49,0.25,0.59,11.78,6.68,64,13.5,145.61
172,Malawi,0.48,0.08,0.36,9.65,1.7,85,13.78,340.24
173,Ethiopia,0.47,0.12,0.72,3.5,25.5,11.44,18.62,249.09
176,Liberia,0.47,0.32,0.46,8.16,3.2,75,7.98,180.58
177,Yemen,0.46,0.32,0.87,1.27,6.7,55,26.72,110.32
178,Guinea-Bissau,0.46,0.18,0.74,7.24,1.15,74,3.93,111.65
179,Congo,0.46,0.54,2.15,2.93,13,45.35,8.65,120.66
180,Mozambique,0.44,0.26,0.46,4.94,3.4,49,10,170.7
181,Sierra Leone,0.43,0.14,0.50,13.42,1.7,9.92,9,175.78
182,Burkina Faso,0.43,0.2,0.74,6.92,1.25,82,16,108.12
185,Burundi,0.42,0.05,0.30,7.52,6,75,2.66,188.68
188,Central African Republic,0.38,0.06,0.43,5.82,19.8,68,4.34,119.32
189,Niger,0.37,0.1,0.52,7.74,4.4,52,10.22,110.08
